title,skills
google data analytics,data storytelling rmarkdown data_literacy_data_visualization_data_presentation_data_ethics_data_cleansing interactive_data_visualization_data_validation ggplot tableau_software sampling_statistics presentation spreadsheet_software_data_analysis_data_visualization_software stakeholder_communications linkedin interviewing_skills applicant_tracking_systems
google cybersecurity,threat_modeling network_security_incident_response vulnerability_management computer_security_incident_management hardening intrusion_detection prevention cyber_threat_intelligence_threat_management_cyber_attacks cybersecurity_network_protocols cloud_security_vulnerability_assessments bash_scripting_language debugging linux interviewing_skills python_programming sql
google project_management,quality_management_project_management_life_cycle requirements_analysis_project scoping_project_closure project_management_project_planning agile_project_management continuous_improvement_process_project control backlog stakeholder_communications milestones_project_management_quality assessment team_management agile_methodology_project_documentation change_management interviewing_skills applicant_tracking_systems
google ai essential,prompt_engineering_generative ai artificial_intelligence machine_learning_aiml large_language_modeling process_optimization productivity_software workforce_development digital_transformation innovation technical_writing emerging_technologies operational_efficiency business solution machine_learning_software_data_security critical_thinking analysis_data_analysis_data_quality
google digital_marketing ecommerce,data storytelling search_engine_marketing medium planning social_media_marketing google ad email_marketing social_media_strategy search_engine_optimization order fulfillment social_media_management_performance_measurement spreadsheet_software testing customer_retention ecommerce campaign_management loyalty program marketing interviewing_skills applicant_tracking_systems
google support,computer networking package software_management_network_troubleshooting system administration cloud_infrastructure infrastructure information_systems_security tcpip network_security file_system microsoft window computer_security_network_architecture application_security desktop_support computer_hardware technical_support interviewing_skills applicant_tracking_systems professional_development
google ux design,responsive_web_design storyboarding wireframing user_experience_design uiux research_usability_testing information_architecture presentation user_research figma design_software_design_reviews persona_user_experience web_content_accessibility_guidelines mobile_development_user_story cross platform development_data_ethics usability interviewing_skills applicant_tracking_systems
machine_learning,unsupervised_learning supervised_learning_machine_learning_methods classification regression_tree_cart artificial_intelligence machine_learning_aiml applied_machine_learning_machine_learning_algorithms_machine_learning jupyter data_ethics decision_tree learning_tensorflow scikit learn_machine_learning_library artificial_intelligence numpy predictive_modeling deep_learning_reinforcement_learning random_forest algorithm feature_engineering
google prompting essential,data_visualization prompt_engineering_data_presentation graphing generative ai_agents chatgpt ai_personalization generative ai timeline data_analysis taking_meeting minute artificial_intelligence complex_problem solving ideation business_correspondence report writing solution_design critical_thinking document_management_machine_learning
ai everyone,data_ethics market_opportunities artificial_intelligence machine_learning_aiml artificial_intelligence team building machine_learning strategic_thinking data_science needs_assessment deep_learning business_ethics artificial_neural_networks engineering_management
ibm data_science,exploratory_data_analysis_data wrangling dashboard_data_visualization_software_data_visualization sql unsupervised_learning plotly interactive_data_visualization_data_transformation supervised_learning jupyter data_analysis_data_cleansing_data_manipulation_data_literacy_data_mining matplotlib generative ai professional networking
ibm data analyst,exploratory_data_analysis_data storytelling_data wrangling dashboard_data_visualization_software plotly data_visualization sql generative ai interactive_data_visualization_data_transformation_data_analysis_data_cleansing jupyter big_data ibm cognos analytics excel_formulas python_programming professional networking microsoft excel
ibm generative ai engineering,exploratory_data_analysis prompt_engineering_data wrangling large_language_modeling unsupervised_learning_pytorch_machine_learning_library generative ai chatgpt kera neural network library_data_transformation flask_web_framework supervised_learning_data_analysis_data_cleansing_data_manipulation unit_testing deep_learning jupyter regression_analysis_data_importexport
ibm ai developer,prompt_engineering_software_development_life_cycle large_language_modeling software_architecture chatgpt development_environment flask_web_framework generative ai cascading_style_sheets_css unit_testing jupyter bootstrap_frontend_framework software_design_software_development_tools_software_engineering responsive_web_design python_programming engineering_software machine_learning_data_science
ai healthcare,feature_engineering healthcare_ethics pharmaceutical data_ethics clinical_research health_systems_healthcare_industry_knowledge medical_record unstructured_data health_care_patient_evaluation health_informatics data_mining clinical_data_management statistical_machine_learning applied_machine_learning electronic medical_record machine_learning artificial_intelligence health_technology
data_science foundation,dashboard pseudocode jupyter algorithms_data_literacy_data_mining pandas_python_package_data_visualization_software correlation_analysis web scraping numpy python_programming probability_statistics predictive_modeling computer_programming_tools_data_science_machine_learning_algorithms unsupervised_learning_machine_learning project_management
ibm full stack software developer,prompt_engineering istio software_development_life_cycle nodejs kubernetes cloud_computing_architecture server side application_deployment react redux cloud_services django web_framework software_architecture objectrelational_mapping git_version_control_system flask_web_framework fullstack_web_development cascading_style_sheets_css cloud_computing jupyter engineering_software
ibm ai product manager,prompt_engineering_generative ai new_product_development_product_management_product_lifecycle_management_product_development_innovation product roadmaps chatgpt product planning commercialization artificial_intelligence product_strategy project_management_life_cycle openai stakeholder_engagement stakeholder_management competitive_analysis_product_testing business_development
ibm devops software_engineering,user_story cicd istio open_web_application_security_project_owasp software_development_life_cycle continuous_integration linux command kubernetes cloud_computing_architecture application_deployment test driven_development_tdd gherkin scripting_language jenkins git_version_control_system flask_web_framework devops jupyter grafana software_engineering_application_development
business foundation,operations_management_return investment operational_efficiency financial_statement financial_statement_analysis finance human_capital go market_strategy process_analysis branding process_management_people_management financial_reporting capital budgeting financial_accounting financial_modeling marketing_marketing_planning_peer_review corporate_finance
data_science fundamental python sql,dashboard sql descriptive_statistics jupyter statistical_analysis_data_analysis_probability_distribution pandas_python_package_data_visualization_software statistics_data_visualization statistical_hypothesis_testing_databases regression_analysis stored_procedure python_programming_data_science_data_structures computer_programming_tools_data_analysis_software
ibm backend development,istio open_web_application_security_project_owasp software_development_life_cycle linux command kubernetes_application_deployment nosql bash_scripting_language mongodb shell_script django web_framework software_architecture objectrelational_mapping development_environment git_version_control_system flask_web_framework jupyter grafana microservices python_programming
microsoft power bi data analyst,power bi microsoft excel data_analysis_data_visualization_data_storage_data_collection_data_quality business_intelligence microsoft power platform advanced_analytics_database_design statistical_reporting statistical_visualization analytical_skills_data_integration business reporting_data_storage_technologies sql microsoft sql server data_security
introduction data_science,sql jupyter data_literacy_data_mining peer_review_data_modeling_databases stored_procedure relational databases_database_design query_language data_science_database_management big_data computer_programming_tools_data_analysis_software_data_cleansing software_development_tools cloud_computing python_programming
