title,organization,rating,review_count,difficulty,course_type,duration,skills,url,is_free,course_id
Google Data Analytics,Google,4.763478066748522,170221,Beginner,Professional Certificate,THREE_TO_SIX_MONTHS,"Data Storytelling, Data Literacy, Data Visualization, Data Presentation, Data Ethics, Data Cleansing, Rmarkdown, Interactive Data Visualization, Data Validation, Ggplot2, Tableau Software, Sampling (Statistics), Presentations, Spreadsheet Software, Data Analysis, Data Visualization Software, Stakeholder Communications, LinkedIn, Interviewing Skills, Applicant Tracking Systems",/professional-certificates/google-data-analytics,False,s12n~kr43OcbTEeqeNBKhfgCLyw
Google Cybersecurity,Google,4.822993818461947,53223,Beginner,Professional Certificate,THREE_TO_SIX_MONTHS,"Threat Modeling, Network Security, Incident Response, Vulnerability Management, Computer Security Incident Management, Hardening, Intrusion Detection and Prevention, Cyber Threat Intelligence, Threat Management, Cyber Attacks, Cybersecurity, Network Protocols, Cloud Security, Vulnerability Assessments, Bash (Scripting Language), Debugging, Linux, Interviewing Skills, Python Programming, SQL",/professional-certificates/google-cybersecurity,False,s12n~Dy6K-2UKEe2PIRJn6nL9pQ
Google Project Management:,Google,4.842594917330069,130640,Beginner,Professional Certificate,THREE_TO_SIX_MONTHS,"Quality Management, Project Management Life Cycle, Requirements Analysis, Project Scoping, Project Closure, Project Management, Project Planning, Agile Project Management, Continuous Improvement Process, Project Controls, Backlogs, Stakeholder Communications, Milestones (Project Management), Quality Assessment, Team Management, Agile Methodology, Project Documentation, Change Management, Interviewing Skills, Applicant Tracking Systems",/professional-certificates/google-project-management,False,s12n~fq9UWMbTEeqpthJ2RmWGow
Google AI Essentials,Google,4.837584396099025,2666,Beginner,Specialization,ONE_TO_THREE_MONTHS,"Prompt Engineering, Generative AI, Artificial Intelligence and Machine Learning (AI/ML), Large Language Modeling, Process Optimization, Productivity Software, Workforce Development, Digital Transformation, Innovation, Technical Writing, Emerging Technologies, Operational Efficiency, Business Solutions, Machine Learning Software, Data Security, Critical Thinking, Analysis, Data Analysis, Data Quality",/specializations/ai-essentials-google,False,s12n~3tzIujTqTk-YdcEFZ9r3sQ
Google Digital Marketing & E-commerce,Google,4.801475442140009,40598,Beginner,Professional Certificate,THREE_TO_SIX_MONTHS,"Data Storytelling, Search Engine Marketing, Media Planning, Social Media Marketing, Google Ads, Email Marketing, Social Media Strategy, Search Engine Optimization, Order Fulfillment, Social Media Management, Performance Measurement, Spreadsheet Software, A/B Testing, Customer Retention, E-Commerce, Campaign Management, Loyalty Programs, Marketing, Interviewing Skills, Applicant Tracking Systems",/professional-certificates/google-digital-marketing-ecommerce,False,s12n~aYYrIEl-EeyCjQ5Y8Mzdsw
Google IT Support,Google,4.783748792838899,203991,Beginner,Professional Certificate,THREE_TO_SIX_MONTHS,"Computer Networking, Package and Software Management, Network Troubleshooting, Systems Administration, Cloud Infrastructure, IT Infrastructure, Information Systems Security, TCP/IP, Network Security, File Systems, Microsoft Windows, Computer Security, Network Architecture, Application Security, Desktop Support, Computer Hardware, Technical Support, Interviewing Skills, Applicant Tracking Systems, Professional Development",/professional-certificates/google-it-support,False,s12n~7lHCSlFIEeeffRIHljDI_g
Google UX Design,Google,4.815444479664222,91489,Beginner,Professional Certificate,THREE_TO_SIX_MONTHS,"Responsive Web Design, Storyboarding, Wireframing, User Experience Design, UI/UX Research, Usability Testing, Information Architecture, Presentations, User Research, Figma (Design Software), Design Reviews, Persona (User Experience), Web Content Accessibility Guidelines, Mobile Development, User Story, Cross Platform Development, Data Ethics, Usability, Interviewing Skills, Applicant Tracking Systems",/professional-certificates/google-ux-design,False,s12n~Z-5wCcbTEeqeNBKhfgCLyw
Google Prompting Essentials,Google,4.797653958944282,1023,Beginner,Specialization,ONE_TO_FOUR_WEEKS,"Data Visualization, Prompt Engineering, Data Presentation, Graphing, Generative AI Agents, ChatGPT, AI Personalization, Generative AI, Timelines, Data Analysis, Taking Meeting Minutes, Artificial Intelligence, Complex Problem Solving, Ideation, Business Correspondence, Report Writing, Solution Design, Critical Thinking, Document Management, Machine Learning",/specializations/prompting-essentials-google,False,s12n~1a_Qa92eQkOSjt6VLZ6lsg
Machine Learning,"DeepLearning.AI, Stanford University",4.894190666782683,34479,Beginner,Specialization,ONE_TO_THREE_MONTHS,"Unsupervised Learning, Supervised Learning, Classification And Regression Tree (CART), Artificial Intelligence and Machine Learning (AI/ML), Applied Machine Learning, Machine Learning Algorithms, Machine Learning, Jupyter, Data Ethics, Decision Tree Learning, Tensorflow, Scikit Learn (Machine Learning Library), Artificial Intelligence, NumPy, Predictive Modeling, Deep Learning, Reinforcement Learning, Random Forest Algorithm, Feature Engineering, Python Programming",/specializations/machine-learning-introduction,False,s12n~nOOfCDWeEeuiZgo2K4rorQ
AI For Everyone,DeepLearning.AI,4.79032892421702,48309,Beginner,Course,ONE_TO_FOUR_WEEKS,"Data Ethics, Market Opportunities, Artificial Intelligence and Machine Learning (AI/ML), Artificial Intelligence, Team Building, Machine Learning, Strategic Thinking, Data Science, Needs Assessment, Deep Learning, Business Ethics, Artificial Neural Networks, Engineering Management",/learn/ai-for-everyone,False,course~daG-a-O1EeijKBISCWxf6g
